asset_cat,Min,Max,cc_step,a,b
eea_covered,0,5,0,0.007,0.0
eea_covered,0,5,1,0.009,0.0
eea_covered,0,5,2,,
eea_covered,0,5,3,,
eea_covered,0,5,4,,
eea_covered,0,5,5,,
eea_covered,0,5,6,,
eea_covered,0,5,7,,
eea_covered,5,Max,0,0.005,0.035
eea_covered,5,Max,1,0.005,0.045
eea_covered,5,Max,2,,
eea_covered,5,Max,3,,
eea_covered,5,Max,4,,
eea_covered,5,Max,5,,
eea_covered,5,Max,6,,
eea_covered,5,Max,7,,
non_eea_sov_bonds_dom_curr,0,5,0,0.0,0.0
non_eea_sov_bonds_dom_curr,0,5,1,0.0,0.0
non_eea_sov_bonds_dom_curr,0,5,2,0.011,0.0
non_eea_sov_bonds_dom_curr,0,5,3,0.014,0.0
non_eea_sov_bonds_dom_curr,0,5,4,0.025,0.0
non_eea_sov_bonds_dom_curr,0,5,5,0.045,0.0
non_eea_sov_bonds_dom_curr,0,5,6,0.045,0.0
non_eea_sov_bonds_dom_curr,0,5,7,0.045,0.0
non_eea_sov_bonds_dom_curr,5,10,0,0.0,0.0
non_eea_sov_bonds_dom_curr,5,10,1,0.0,0.0
non_eea_sov_bonds_dom_curr,5,10,2,0.006,0.055
non_eea_sov_bonds_dom_curr,5,10,3,0.007,0.07
non_eea_sov_bonds_dom_curr,5,10,4,0.015,0.125
non_eea_sov_bonds_dom_curr,5,10,5,0.025,0.225
non_eea_sov_bonds_dom_curr,5,10,6,0.025,0.225
non_eea_sov_bonds_dom_curr,5,10,7,0.025,0.225
non_eea_sov_bonds_dom_curr,10,15,0,0.0,0.0
non_eea_sov_bonds_dom_curr,10,15,1,0.0,0.0
non_eea_sov_bonds_dom_curr,10,15,2,0.005,0.084
non_eea_sov_bonds_dom_curr,10,15,3,0.005,0.105
non_eea_sov_bonds_dom_curr,10,15,4,0.01,0.2
non_eea_sov_bonds_dom_curr,10,15,5,0.018,0.35
non_eea_sov_bonds_dom_curr,10,15,6,0.018,0.35
non_eea_sov_bonds_dom_curr,10,15,7,0.018,0.35
non_eea_sov_bonds_dom_curr,15,20,0,0.0,0.0
non_eea_sov_bonds_dom_curr,15,20,1,0.0,0.0
non_eea_sov_bonds_dom_curr,15,20,2,0.005,0.109
non_eea_sov_bonds_dom_curr,15,20,3,0.005,0.13
non_eea_sov_bonds_dom_curr,15,20,4,0.01,0.25
non_eea_sov_bonds_dom_curr,15,20,5,0.005,0.44
non_eea_sov_bonds_dom_curr,15,20,6,0.005,0.44
non_eea_sov_bonds_dom_curr,15,20,7,0.005,0.44
non_eea_sov_bonds_dom_curr,20,Max,0,0.0,0.0
non_eea_sov_bonds_dom_curr,20,Max,1,0.0,0.0
non_eea_sov_bonds_dom_curr,20,Max,2,0.005,0.134
non_eea_sov_bonds_dom_curr,20,Max,3,0.005,0.155
non_eea_sov_bonds_dom_curr,20,Max,4,0.005,0.3
non_eea_sov_bonds_dom_curr,20,Max,5,0.005,0.465
non_eea_sov_bonds_dom_curr,20,Max,6,0.005,0.465
non_eea_sov_bonds_dom_curr,20,Max,7,0.005,0.465
other_bonds_and_loans,0,5,0,0.009,0.0
other_bonds_and_loans,0,5,1,0.011,0.0
other_bonds_and_loans,0,5,2,0.014,0.0
other_bonds_and_loans,0,5,3,0.025,0.0
other_bonds_and_loans,0,5,4,0.045,0.0
other_bonds_and_loans,0,5,5,0.075,0.0
other_bonds_and_loans,0,5,6,0.075,0.0
other_bonds_and_loans,0,5,7,0.03,0.0
other_bonds_and_loans,5,10,0,0.005,0.045
other_bonds_and_loans,5,10,1,0.006,0.055
other_bonds_and_loans,5,10,2,0.007,0.07
other_bonds_and_loans,5,10,3,0.015,0.125
other_bonds_and_loans,5,10,4,0.025,0.225
other_bonds_and_loans,5,10,5,0.042,0.375
other_bonds_and_loans,5,10,6,0.042,0.375
other_bonds_and_loans,5,10,7,0.017,0.15
other_bonds_and_loans,10,15,0,0.005,0.07
other_bonds_and_loans,10,15,1,0.005,0.084
other_bonds_and_loans,10,15,2,0.005,0.105
other_bonds_and_loans,10,15,3,0.01,0.2
other_bonds_and_loans,10,15,4,0.018,0.35
other_bonds_and_loans,10,15,5,0.005,0.585
other_bonds_and_loans,10,15,6,0.005,0.585
other_bonds_and_loans,10,15,7,0.012,0.235
other_bonds_and_loans,15,20,0,0.005,0.095
