country_isocode,AT,BE,BG,CH,CR,CY,CZ,DE,FR,GU,HE,HU,IT,MA,MT,PT,RO,SI,SK,SM
AT,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.25,0.0
BE,0.0,1.0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
BG,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.25,0,0.0,0.0,0,0,0,0.0,0.0,0.0
CH,0.0,0.0,0.0,1.0,0.0,0,0,0.25,0.25,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
CR,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.25,0.0,0.0
CY,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
CZ,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
DE,0.0,0.25,0.0,0.25,0.0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
FR,0.0,0.0,0.0,0.25,0.0,0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
GU,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0,0.0,0.75,0,0,0,0.0,0.0,0.75
HE,0.0,0.0,0.25,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
HU,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0,0,0.0,0.0,0.0
IT,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0,0.25,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.75,0.0,0,0.0,1.0,0,0,0,0.0,0.0,0.75
MT,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0,0,0.0,0.0,0.0
PT,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0.0,0.0
SI,0.0,0.0,0.0,0.0,0.25,0,0,0.0,0.0,0.0,0.0,0,0.25,0.0,0,0,0,1.0,0.0,0.0
SK,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0
SM,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.75,0.0,0,0.0,0.75,0,0,0,0.0,0.0,1.0
