country_isocode,AT,BE,BG,CH,CZ,DE,FR,HU,IT,PL,RO,SI,SK,UK
AT,1.0,0.0,0.25,0.25,0.5,0.75,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0
BE,0.0,1.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0
BG,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0
CH,0.25,0.0,0.0,1.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0
CZ,0.5,0.0,0.0,0.0,1.0,0.5,0.0,0.25,0.0,0.75,0.25,0.0,0.75,0
DE,0.75,0.25,0.0,0.25,0.5,1.0,0.25,0.25,0.0,0.75,0.25,0.0,0.25,0
FR,0.0,0.25,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HU,0.5,0.0,0.25,0.0,0.25,0.25,0.0,1.0,0.0,0.25,0.5,0.0,0.25,0
IT,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0
PL,0.25,0.0,0.0,0.0,0.75,0.75,0.0,0.25,0.0,1.0,0.25,0.0,0.25,0
RO,0.25,0.0,0.5,0.0,0.25,0.25,0.0,0.5,0.0,0.25,1.0,0.0,0.25,0
SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.25,0
SK,0.5,0.0,0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.25,0.25,0.25,1.0,0
UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
