cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
2,0.0,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.75,0.25,0.0,0.5,0.5,0.75,0.0,0.0,0.5,0.25,0.5,0.75,0.5
3,0.25,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0
4,0.0,0.5,1.0,1.0,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.75,0.5,0.0,0.5,0.5,0.75,0.0,0.25,0.5,0.25,0.5,0.75,0.5
5,0.0,0.25,0.75,0.5,1.0,0.25,0.25,0.25,0.25,0.25,0.0,0.75,0.25,0.0,0.25,0.25,0.5,0.0,0.0,0.5,0.25,0.25,0.75,0.25
6,0.0,0.25,0.75,0.25,0.25,1.0,0.25,0.25,0.5,0.0,0.0,0.75,0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.5,0.0,0.25,0.5,0.25
7,0.0,0.25,0.75,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.25,0.75,0.25,0.0,0.25,0.25,0.75,0.0,0.0,0.5,0.25,0.25,0.75,0.25
8,0.25,0.25,1.0,0.25,0.25,0.25,0.25,1.0,0.5,0.25,0.25,0.75,0.5,0.5,0.25,0.25,0.5,0.25,0.0,0.5,0.25,0.25,0.75,0.25
9,0.25,0.25,1.0,0.25,0.25,0.5,0.25,0.5,1.0,0.5,0.25,0.75,0.5,0.25,0.75,0.5,0.75,0.0,0.25,0.5,0.25,0.5,0.75,0.5
10,0.0,0.5,1.0,0.5,0.25,0.0,0.25,0.25,0.5,1.0,0.75,1.0,0.5,0.25,0.75,1.0,1.0,0.0,0.25,0.75,0.75,0.75,1.0,0.5
11,0.0,0.25,1.0,0.5,0.0,0.0,0.25,0.25,0.25,0.75,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.25,0.5,0.5,0.5,1.0,0.5
12,0.25,0.75,1.0,0.75,0.75,0.75,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0
13,0.5,0.25,1.0,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.5,0.75,0.25,0.25,0.5,0.5,0.5,0.75,0.5
14,1.0,0.0,0.5,0.0,0.0,0.25,0.0,0.5,0.25,0.25,0.0,0.75,0.5,1.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.25
15,0.0,0.5,1.0,0.5,0.25,0.25,0.25,0.25,0.75,0.75,0.5,1.0,0.5,0.25,1.0,0.75,1.0,0.0,0.25,0.75,0.5,0.75,1.0,0.5
16,0.0,0.5,1.0,0.5,0.25,0.25,0.25,0.25,0.5,1.0,0.5,1.0,0.5,0.0,0.75,1.0,1.0,0.25,0.25,0.75,0.75,0.75,1.0,0.75
17,0.0,0.75,1.0,0.75,0.5,0.5,0.75,0.5,0.75,1.0,1.0,1.0,0.75,0.25,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0
18,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.25,0.5,1.0,0.0,0.5,0.0,0.25,0.5,0.25
19,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.75,0.25,0.0,0.25,0.25,0.75,0.0,1.0,0.5,0.25,0.25,0.75,0.25
20,0.25,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0.5,0.75,0.75,1.0,0.5,0.5,1.0,0.5,0.75,1.0,1.0
21,0.0,0.25,1.0,0.25,0.25,0.0,0.25,0.25,0.25,0.75,0.5,1.0,0.5,0.0,0.5,0.75,1.0,0.0,0.25,0.5,1.0,0.75,1.0,0.5
22,0.0,0.5,1.0,0.5,0.25,0.25,0.25,0.25,0.5,0.75,0.5,1.0,0.5,0.0,0.75,0.75,1.0,0.25,0.25,0.75,0.75,1.0,1.0,0.75
23,0.0,0.75,1.0,0.75,0.75,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.75,0.25,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0
24,0.0,0.5,1.0,0.5,0.25,0.25,0.25,0.25,0.5,0.5,0.5,1.0,0.5,0.25,0.5,0.75,1.0,0.25,0.25,1.0,0.5,0.75,1.0,1.0
