cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1.0,1.0,0.5,0.0,0.25,0.75,0.25,0.25,0.25,0,0,0,0.25,0,0.25,1.0,1.0,0.25,0.5,0.25,0.25,0.0,0.25,0.25
2,1.0,1.0,1.0,0.25,0.0,0.25,0.0,0.0,0.0,0,0,0,0.25,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
3,0.5,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.25,0,0,0,0.25,0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0
4,0.0,0.25,0.0,1.0,1.0,0.0,1.0,1.0,0.75,0,0,0,1.0,0,0.5,0.0,0.0,0.75,0.5,1.0,1.0,1.0,0.5,0.75
5,0.25,0.0,0.25,1.0,1.0,0.0,0.5,1.0,0.25,0,0,0,1.0,0,0.25,0.25,0.25,0.5,1.0,1.0,1.0,1.0,0.5,0.75
6,0.75,0.25,0.0,0.0,0.0,1.0,0.5,0.25,0.0,0,0,0,0.0,0,0.5,0.75,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.25
7,0.25,0.0,0.0,1.0,0.5,0.5,1.0,0.75,0.5,0,0,0,0.5,0,0.25,0.25,0.0,0.5,0.5,0.5,0.75,1.0,0.0,0.0
8,0.25,0.0,0.0,1.0,1.0,0.25,0.75,1.0,0.75,0,0,0,1.0,0,0.5,0.25,0.0,0.75,0.5,1.0,1.0,1.0,0.5,0.75
9,0.25,0.0,0.25,0.75,0.25,0.0,0.5,0.75,1.0,0,0,0,0.25,0,0.0,0.25,0.0,0.25,0.25,0.25,0.75,0.75,0.25,0.75
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.25,0.25,0.25,1.0,1.0,0.0,0.5,1.0,0.25,0,0,0,1.0,0,0.75,0.25,0.25,0.75,1.0,1.0,1.0,1.0,0.5,0.75
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.25,0.0,0.0,0.5,0.25,0.5,0.25,0.5,0.0,0,0,0,0.75,0,1.0,0.25,0.75,0.75,1.0,0.5,0.5,0.75,0.5,0.5
16,1.0,1.0,0.5,0.0,0.25,0.75,0.25,0.25,0.25,0,0,0,0.25,0,0.25,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25
17,1.0,1.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0,0,0,0.25,0,0.75,1.0,1.0,0.5,0.75,0.25,0.0,0.25,0.25,0.25
18,0.25,0.0,0.0,0.75,0.5,0.0,0.5,0.75,0.25,0,0,0,0.75,0,0.75,0.25,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0
19,0.5,0.0,0.25,0.5,1.0,0.25,0.5,0.5,0.25,0,0,0,1.0,0,1.0,0.25,0.75,1.0,1.0,1.0,0.75,0.75,0.0,1.0
20,0.25,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.25,0,0,0,1.0,0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,1.0,0.75,0.75
21,0.25,0.0,0.0,1.0,1.0,0.0,0.75,1.0,0.75,0,0,0,1.0,0,0.5,0.25,0.0,0.75,0.75,1.0,1.0,1.0,0.5,0.5
22,0.0,0.25,0.0,1.0,1.0,0.25,1.0,1.0,0.75,0,0,0,1.0,0,0.75,0.25,0.25,1.0,0.75,1.0,1.0,1.0,0.5,0.75
23,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.25,0,0,0,0.5,0,0.5,0.25,0.25,1.0,0.0,0.75,0.5,0.5,1.0,1.0
24,0.25,0.0,1.0,0.75,0.75,0.25,0.0,0.75,0.75,0,0,0,0.75,0,0.5,0.25,0.25,1.0,1.0,0.75,0.5,0.75,1.0,1.0
