cresta_zone,1,2,3,4,5,6,7,8,9,10,11
1,1.0,1.0,0.75,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.25
2,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5,0.75,0.5,0.25
3,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.75,0.5
4,0.5,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.5
5,0.5,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.5
6,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
7,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.75
8,0.25,0.5,0.75,0.75,0.75,1.0,1.0,1.0,0.75,1.0,0.75
9,0.5,0.75,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,0.75
10,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75
11,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.75,1.0
