cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,1.0,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.0,0.5,0.25,0.25,0.0,0.25,0.25,0.25,0.0
2,0.25,1.0,0.5,0.5,0.5,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.25,0.0,0.25,0.0,0.25,0.25,0.25
3,0.25,0.5,1.0,0.25,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0
4,0.5,0.5,0.25,1.0,0.75,0.75,0.75,0.5,0.5,0.5,0.5,0.75,0.25,0.0,0.25,0.0,0.5,0.5,0.25
5,0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.5,0.5,0.75,0.5,1.0,0.5,0.25,0.25,0.25,0.5,0.5,0.0
6,0.5,0.25,0.25,0.75,0.5,1.0,1.0,0.75,0.75,0.75,0.5,0.75,0.25,0.25,0.25,0.0,0.5,0.5,0.25
7,0.5,0.25,0.0,0.75,0.5,1.0,1.0,1.0,0.75,0.5,0.75,0.75,0.25,0.25,0.0,0.0,0.5,0.25,0.25
8,0.25,0.0,0.0,0.5,0.5,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.25,0.0,0.0,0.0,0.5,0.25,0.25
9,0.25,0.25,0.0,0.5,0.5,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.75,0.5,0.25
10,0.5,0.25,0.25,0.5,0.75,0.75,0.5,0.75,0.75,1.0,0.75,1.0,0.5,0.25,0.5,0.25,0.75,0.5,0.25
11,0.0,0.0,0.0,0.5,0.5,0.5,0.75,0.75,0.75,0.75,1.0,0.75,0.25,0.0,0.25,0.25,0.75,0.25,0.25
12,0.5,0.5,0.25,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.75,1.0,0.5,0.25,0.5,0.25,0.75,0.5,0.25
13,0.25,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.5,1.0,0.5,0.25,0.25,0.5,0.5,0.0
14,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.25,0.5,1.0,0.25,0.25,0.25,0.25,0.0
15,0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.5,0.25,0.5,0.25,0.25,1.0,0.25,0.25,0.25,0.0
16,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0,0.25,0.5,0.0
17,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.25,0.25,0.25,1.0,0.5,0.25
18,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.25,0.5,0.5,1.0,0.25
19,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,1.0
