cresta_zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.75,0.25,0.5,0.75,0.75,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.5
2,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5
3,0.0,0.75,1.0,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.25,1.0,0.25,0.25,0.25,0.25,0.25,0.75,0.25
4,0.5,0.5,0.5,1.0,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.25,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5
5,0.5,0.5,0.5,0.75,1.0,0.75,0.75,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.25,0.5
6,0.5,0.5,0.5,0.5,0.75,1.0,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.25,0.5
7,0.5,0.5,0.5,0.5,0.75,0.75,1.0,0.5,0.5,0.75,0.75,0.75,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.5
8,0.75,0.5,0.75,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,1.0,0.75,0.75,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.5
11,0.75,0.5,0.25,0.75,0.75,0.75,0.75,0.5,0.5,0.75,1.0,1.0,0.5,0.5,0.75,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.25,0.75
12,0.25,0.25,0.75,0.5,0.75,0.5,0.75,0.25,0.5,0.75,1.0,1.0,0.25,0.25,0.5,0.25,1.0,0.25,0.25,0.5,0.25,0.25,1.0,0.5
13,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,1.0,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,0.5
16,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.75,0.5
17,1.0,0.75,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75
18,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.75,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.5
19,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.5,0.5,0.5,0.75,1.0,0.5,1.0,0.75,0.5,0.5,0.75,0.5
20,0.75,0.5,0.25,0.5,0.75,0.5,0.75,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.75,0.75,1.0,0.5,0.75,1.0,0.5,0.5,0.5,0.75
21,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.5,1.0,0.5,0.75,0.5
22,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5
23,0.5,0.25,0.75,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.25,1.0,0.5,0.5,0.5,0.75,1.0,0.75,0.75,0.5,0.75,1.0,1.0,0.5
24,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.5,0.5,0.5,1.0
