Zone,AT,BE,BG,CZ,CH,CR,CY,DE,FR,HE,GU,HU,IT,MA,MT,PT,RO,SI,SM,SK
1,3.5,0.8,1.5,0.1,1.1,0.8,0.6,0.1,1.4,2.2,1.0,2.6,4.3,1.0,1.0,1.7,0.0,1.4,1.0,1.8
2,3.1,0.4,0.3,0.1,1.3,1.3,1.9,0.2,0.1,1.8,,0.4,2.0,,,2.3,0.1,0.8,,0.8
3,3.2,1.7,0.5,0.1,1.8,0.1,1.3,0.2,0.3,2.5,,0.0,6.8,,,1.9,0.8,0.7,,1.3
4,4.0,1.8,0.3,0.1,3.1,0.7,2.0,1.1,3.1,2.7,,0.8,6.0,,,1.2,2.0,1.4,,0.6
5,0.9,1.1,0.6,0.1,3.8,1.0,0.4,0.7,1.0,2.0,,1.6,3.2,,,1.4,0.0,0.7,,0.6
6,1.6,2.4,0.4,0.1,1.4,0.5,0.2,1.5,4.1,2.1,,1.0,5.0,,,3.6,0.0,0.4,,0.6
7,2.4,3.3,0.1,0.1,1.5,0.3,,2.7,1.1,1.8,,0.6,4.7,,,2.4,0.0,0.2,,0.6
8,3.4,0.7,0.7,0.1,1.0,0.8,,0.6,0.1,2.2,,1.0,0.0,,,2.1,0.9,0.2,,1.1
9,3.2,0.5,0.1,0.1,2.1,0.4,,0.1,4.9,2.1,,0.6,0.0,,,3.4,0.2,1.7,,1.0
10,3.8,,0.3,0.1,1.2,0.2,,0.1,0.1,2.9,,0.0,0.0,,,2.0,4.0,1.3,,3.2
11,3.6,,0.1,0.1,1.7,0.3,,0.1,2.9,3.5,,0.4,1.9,,,1.6,0.1,1.0,,2.9
12,3.8,,0.1,0.1,1.5,0.3,,0.2,0.1,3.2,,0.0,1.8,,,1.5,2.2,,,3.2
13,2.5,,0.2,0.1,0.7,0.6,,0.2,2.7,3.1,,0.5,1.4,,,0.6,0.0,,,3.2
14,1.9,,0.1,0.1,2.5,0.3,,0.2,0.2,3.2,,1.7,1.3,,,1.3,0.0,,,2.6
15,1.2,,0.5,0.1,2.3,1.8,,0.1,0.2,2.6,,0.1,0.8,,,0.6,1.5,,,1.6
16,0.6,,0.6,0.1,0.6,0.3,,0.1,0.6,2.6,,0.0,1.6,,,0.8,1.3,,,2.2
17,0.2,,0.5,0.1,1.7,0.6,,0.2,0.7,3.8,,0.0,1.2,,,2.0,0.2,,,1.9
18,1.7,,0.7,0.1,1.7,0.6,,0.1,0.1,3.1,,1.8,1.8,,,1.6,1.3,,,1.1
19,0.2,,0.5,0.6,1.4,0.8,,0.2,0.1,7.2,,0.7,3.2,,,2.6,0.9,,,1.8
20,0.1,,0.3,0.6,0.5,0.3,,0.1,0.2,2.8,,0.0,4.0,,,1.8,0.3,,,1.9
21,0.4,,0.4,2.5,0.9,1.3,,0.1,0.3,4.8,,0.2,1.5,,,0.4,0.0,,,0.6
22,0.0,,0.2,1.5,2.1,,,0.1,0.2,6.8,,0.0,0.8,,,0.6,0.0,,,2.2
23,0.0,,0.1,0.1,1.4,,,0.1,0.2,2.7,,0.0,1.4,,,0.3,2.0,,,0.2
24,0.0,,0.1,0.1,2.6,,,0.1,0.1,2.6,,0.1,1.8,,,0.2,0.3,,,1.6
25,0.0,,0.1,0.1,0.8,,,0.1,2.0,1.6,,,4.3,,,0.1,0.1,,,
26,0.0,,0.2,0.1,1.3,,,0.2,2.5,3.1,,,4.5,,,0.1,0.3,,,
27,0.0,,0.1,0.1,,,,0.2,0.1,3.4,,,3.1,,,0.1,0.0,,,
28,0.0,,0.0,1.1,,,,0.1,0.1,3.3,,,1.9,,,0.1,0.5,,,
29,0.0,,,0.9,,,,0.1,0.2,3.6,,,1.1,,,0.3,0.4,,,
30,0.0,,,0.1,,,,0.1,1.4,1.9,,,3.2,,,0.3,2.1,,,
31,0.0,,,0.1,,,,0.1,1.4,3.1,,,3.0,,,0.3,0.0,,,
32,0.1,,,0.7,,,,0.2,2.6,2.0,,,8.0,,,0.2,0.2,,,
