Zone,FR
1,0.5
2,0.3
3,0.5
4,0.3
5,0.3
6,0.5
7,0.3
8,0.3
9,0.3
10,0.3
11,0.5
12,0.3
13,2.5
14,0.3
15,0.3
16,0.5
17,2.3
18,0.5
19,0.3
20,0.3
21,0.5
22,0.3
23,0.3
24,1.8
25,0.3
26,0.3
27,0.3
28,0.5
29,0.3
30,0.3
31,6.3
32,1.0
33,4.8
34,0.5
35,0.3
36,0.5
37,1.5
38,0.3
39,0.5
40,0.3
41,0.5
42,0.3
43,0.3
44,0.5
45,1.5
46,0.3
47,1.0
48,0.3
49,1.3
50,0.3
51,0.3
52,0.3
53,0.3
54,0.5
55,0.3
56,0.3
57,1.0
58,0.3
59,6.0
60,0.3
61,0.3
62,1.0
63,0.8
64,0.5
65,0.5
66,0.3
67,0.3
68,0.3
69,0.5
70,0.3
71,0.5
72,0.8
73,0.3
74,0.3
75,0.3
76,0.3
77,2.5
78,2.0
79,0.8
80,0.3
81,0.8
82,0.8
83,0.5
84,0.5
85,0.5
86,1.0
87,0.3
88,0.3
89,0.5
90,0.3
91,1.5
92,0.5
93,0.8
94,1.0
95,0.8
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
