Zone,AT,BE,CH,CZ,DE,DK,ES,FI,FR,GU,HU,IE,IS,LU,MA,NL,NO,PL,RE,SE,SI,SM,UK
1,0.6,0.9,1.4,1.2,0.9,1.1,2.3,0.8,1.0,1.0,0.5,1.4,1.0,1.0,1.0,0.9,1.4,0.6,1.0,0.2,0.9,1.0,0.9
2,0.7,1.0,1.1,1.0,0.8,1.6,0.8,1.2,2.0,,2.0,1.1,,,,1.0,0.7,0.6,,0.3,0.9,,1.1
3,0.9,0.9,1.5,1.0,0.8,0.9,0.6,3.6,1.7,,0.6,1.5,,,,1.0,0.5,0.6,,0.3,1.4,,0.7
4,1.5,0.9,1.3,1.0,1.2,2.0,0.6,1.1,0.8,,1.7,1.3,,,,1.1,0.8,0.6,,0.8,1.4,,1.5
5,1.6,1.0,1.5,1.2,1.3,1.3,1.5,1.4,1.5,,1.6,1.5,,,,1.5,1.2,0.6,,0.5,0.9,,1.1
6,1.4,1.0,0.7,1.2,1.1,1.4,1.1,0.8,0.6,,1.8,0.7,,,,1.2,0.8,0.6,,0.7,1.4,,0.9
7,1.5,1.2,1.5,1.2,1.0,1.4,0.2,0.3,0.7,,2.2,1.5,,,,1.6,1.0,0.8,,0.8,1.4,,1.5
8,1.1,1.6,1.1,1.0,1.1,1.6,1.3,0.5,1.7,,1.5,1.1,,,,1.9,0.9,0.7,,2.2,0.7,,0.9
9,1.4,1.1,1.1,1.2,0.5,0.9,2.3,0.8,1.2,,2.2,1.1,,,,1.4,1.0,0.6,,1.6,0.9,,1.9
10,1.1,,1.6,1.2,0.7,0.6,1.5,1.2,1.7,,2.1,1.6,,,,1.4,1.5,0.9,,3.5,0.9,,0.7
11,1.1,,1.8,1.4,0.7,1.8,1.5,0.8,0.9,,1.5,1.8,,,,0.9,2.8,1.0,,5.2,0.7,,1.3
12,1.1,,0.9,1.5,1.0,,1.1,1.0,1.2,,1.4,0.9,,,,1.4,2.6,0.9,,2.4,,,1.2
13,1.2,,1.1,1.5,1.1,,0.8,2.9,0.8,,1.3,1.1,,,,1.7,3.6,0.8,,0.6,,,1.6
14,1.1,,2.0,1.3,1.3,,1.1,3.7,3.3,,1.4,2.0,,,,1.3,2.9,1.0,,0.4,,,1.5
15,1.2,,1.2,1.4,1.6,,2.5,7.9,1.6,,2.0,1.2,,,,1.4,1.4,1.2,,0.3,,,1.5
16,1.5,,1.2,1.6,2.1,,1.3,7.0,1.6,,1.2,1.2,,,,1.2,1.7,0.5,,0.4,,,1.3
17,1.6,,1.3,1.6,1.9,,1.7,2.7,3.0,,0.3,1.3,,,,1.5,1.3,0.6,,0.5,,,2.4
18,1.3,,1.4,1.6,1.4,,0.8,1.2,1.8,,1.9,1.4,,,,1.3,0.7,0.5,,0.4,,,3.2
19,1.5,,1.3,1.6,1.7,,1.5,3.8,1.2,,2.0,1.3,,,,1.1,0.2,0.6,,1.0,,,0.7
20,1.5,,1.4,1.7,1.1,,2.5,,1.3,,2.1,1.4,,,,1.0,,0.7,,0.6,,,2.0
21,1.8,,1.5,1.9,2.0,,1.3,,1.1,,1.1,1.5,,,,0.9,,0.5,,0.6,,,1.2
22,2.0,,1.1,1.8,1.9,,2.1,,2.9,,2.0,1.1,,,,1.5,,0.5,,,,,1.3
23,2.0,,1.2,1.2,2.9,,0.8,,1.8,,0.3,1.2,,,,1.7,,0.4,,,,,2.3
24,1.3,,1.2,1.4,2.7,,2.3,,1.3,,2.2,1.2,,,,1.2,,0.4,,,,,1.2
25,2.1,,0.9,1.3,2.2,,1.9,,0.8,,,0.9,,,,1.1,,0.5,,,,,1.3
26,1.8,,1.3,1.6,1.5,,1.5,,0.8,,,1.3,,,,0.9,,0.6,,,,,1.6
27,1.8,,,1.6,1.6,,2.5,,2.2,,,,,,,1.3,,0.6,,,,,0.9
28,1.5,,,1.7,1.6,,1.1,,2.3,,,,,,,0.9,,0.5,,,,,1.1
29,1.5,,,1.7,1.8,,1.3,,3.4,,,,,,,0.9,,0.5,,,,,3.8
30,1.7,,,1.4,1.8,,0.6,,0.6,,,,,,,0.9,,0.7,,,,,2.2
31,3.2,,,1.5,1.7,,2.3,,1.0,,,,,,,1.0,,0.6,,,,,0.8
32,1.6,,,1.2,1.3,,2.5,,1.6,,,,,,,1.1,,0.5,,,,,0.6
33,3.1,,,1.1,1.1,,2.5,,1.3,,,,,,,1.4,,0.5,,,,,0.4
34,1.4,,,1.1,1.2,,2.3,,0.7,,,,,,,2.0,,0.4,,,,,0.8
35,2.4,,,1.1,1.4,,0.0,,2.5,,,,,,,1.7,,0.5,,,,,0.8
36,2.3,,,1.1,1.5,,2.5,,1.7,,,,,,,1.3,,0.4,,,,,1.9
37,1.8,,,0.9,1.7,,1.7,,1.8,,,,,,,1.6,,0.4,,,,,1.1
38,1.6,,,0.9,1.5,,0.0,,0.8,,,,,,,1.1,,0.4,,,,,2.4
39,2.2,,,1.1,1.8,,2.5,,1.0,,,,,,,0.8,,0.4,,,,,0.8
40,2.0,,,1.0,1.2,,1.7,,1.5,,,,,,,1.1,,0.4,,,,,1.4
41,1.9,,,0.8,1.1,,1.3,,1.7,,,,,,,0.7,,0.6,,,,,1.0
42,1.6,,,0.8,1.2,,1.9,,1.0,,,,,,,1.0,,0.7,,,,,3.1
43,2.0,,,0.8,1.8,,1.5,,1.3,,,,,,,0.9,,0.7,,,,,0.6
44,2.1,,,0.9,1.7,,1.3,,2.7,,,,,,,1.0,,0.7,,,,,1.0
45,2.0,,,0.8,2.1,,1.3,,1.7,,,,,,,0.7,,0.7,,,,,1.2
46,2.2,,,0.9,2.0,,0.8,,1.0,,,,,,,0.7,,0.9,,,,,1.2
47,2.4,,,0.9,1.3,,1.9,,1.3,,,,,,,0.6,,1.0,,,,,1.4
48,2.6,,,0.7,1.2,,2.5,,1.3,,,,,,,0.7,,0.8,,,,,1.6
49,2.2,,,0.7,1.5,,2.1,,2.3,,,,,,,0.8,,0.9,,,,,1.9
50,2.1,,,0.5,1.3,,1.9,,4.8,,,,,,,1.0,,1.0,,,,,1.0
51,2.7,,,0.5,1.3,,,,1.6,,,,,,,0.9,,1.2,,,,,0.7
52,1.6,,,0.5,1.2,,,,1.4,,,,,,,0.7,,1.2,,,,,1.8
53,1.9,,,0.4,1.2,,,,3.1,,,,,,,0.8,,1.2,,,,,1.9
54,1.2,,,0.6,1.0,,,,1.1,,,,,,,0.7,,1.2,,,,,1.0
55,1.3,,,0.6,1.1,,,,1.4,,,,,,,0.7,,1.2,,,,,2.5
56,1.3,,,0.6,1.7,,,,3.3,,,,,,,0.8,,1.2,,,,,1.6
57,1.6,,,0.7,0.8,,,,1.1,,,,,,,1.1,,1.3,,,,,0.7
58,1.1,,,0.8,1.3,,,,1.7,,,,,,,0.8,,1.1,,,,,1.4
59,1.4,,,0.8,0.9,,,,1.6,,,,,,,0.8,,1.3,,,,,1.2
60,1.5,,,,1.1,,,,1.9,,,,,,,0.9,,1.7,,,,,1.1
61,1.6,,,,1.1,,,,3.2,,,,,,,0.8,,1.7,,,,,1.7
62,1.7,,,,1.1,,,,2.2,,,,,,,0.9,,1.6,,,,,2.2
63,1.6,,,,1.1,,,,1.2,,,,,,,0.8,,1.4,,,,,1.3
64,1.1,,,,1.0,,,,1.3,,,,,,,0.6,,1.3,,,,,1.9
65,1.4,,,,0.9,,,,1.5,,,,,,,0.8,,2.0,,,,,3.2
66,2.3,,,,0.7,,,,0.8,,,,,,,0.7,,1.8,,,,,0.7
67,1.7,,,,0.9,,,,0.9,,,,,,,0.9,,2.3,,,,,1.2
68,1.9,,,,0.8,,,,0.7,,,,,,,1.0,,1.6,,,,,0.6
69,2.1,,,,0.8,,,,0.7,,,,,,,1.2,,1.7,,,,,6.1
70,2.2,,,,1.0,,,,1.0,,,,,,,1.1,,2.3,,,,,1.3
71,1.9,,,,0.8,,,,1.3,,,,,,,1.1,,3.4,,,,,1.1
72,1.9,,,,0.9,,,,2.4,,,,,,,0.9,,3.6,,,,,0.5
73,1.9,,,,0.9,,,,1.1,,,,,,,1.3,,3.6,,,,,0.7
74,1.8,,,,0.9,,,,0.9,,,,,,,1.8,,2.9,,,,,1.2
75,1.7,,,,0.9,,,,0.6,,,,,,,1.2,,3.0,,,,,1.4
76,1.8,,,,0.9,,,,2.5,,,,,,,1.6,,3.3,,,,,1.4
77,2.1,,,,0.8,,,,1.3,,,,,,,1.5,,3.2,,,,,1.5
78,,,,,0.9,,,,1.3,,,,,,,1.8,,2.6,,,,,0.5
79,,,,,0.9,,,,2.2,,,,,,,1.8,,3.0,,,,,0.8
80,,,,,0.8,,,,2.4,,,,,,,1.1,,1.9,,,,,1.6
81,,,,,0.8,,,,1.1,,,,,,,1.4,,2.7,,,,,1.3
82,,,,,0.8,,,,1.2,,,,,,,1.4,,1.4,,,,,3.2
83,,,,,1.0,,,,0.8,,,,,,,1.2,,1.8,,,,,1.4
84,,,,,1.0,,,,0.5,,,,,,,1.2,,2.9,,,,,2.1
85,,,,,0.8,,,,3.4,,,,,,,0.8,,1.5,,,,,1.7
86,,,,,0.8,,,,1.8,,,,,,,1.0,,1.5,,,,,1.5
87,,,,,0.9,,,,1.5,,,,,,,1.0,,1.2,,,,,1.2
88,,,,,0.7,,,,1.0,,,,,,,1.0,,1.4,,,,,1.0
89,,,,,0.8,,,,1.7,,,,,,,1.4,,1.9,,,,,1.1
90,,,,,0.8,,,,0.6,,,,,,,1.4,,0.8,,,,,0.9
91,,,,,0.9,,,,1.1,,,,,,,,,0.8,,,,,2.1
92,,,,,0.9,,,,0.6,,,,,,,,,0.8,,,,,0.6
93,,,,,1.1,,,,0.6,,,,,,,,,0.8,,,,,1.4
94,,,,,1.0,,,,0.7,,,,,,,,,0.8,,,,,0.9
95,,,,,1.4,,,,1.0,,,,,,,,,0.8,,,,,1.0
96,,,,,,,,,,,,,,,,,,0.7,,,,,0.6
97,,,,,,,,,,,,,,,,,,0.7,,,,,1.5
98,,,,,,,,,,,,,,,,,,0.9,,,,,1.1
99,,,,,,,,,,,,,,,,,,0.9,,,,,1.6
100,,,,,,,,,,,,,,,,,,,,,,,0.8
101,,,,,,,,,,,,,,,,,,,,,,,4.8
102,,,,,,,,,,,,,,,,,,,,,,,1.2
103,,,,,,,,,,,,,,,,,,,,,,,0.5
104,,,,,,,,,,,,,,,,,,,,,,,1.8
