country_isocode,country,windstorm,earthquake,flood,hail,subsidence
AT,Austria,0.0006,0.001,0.0013,0.0008,
BE,Belgium,0.0016,0.0002,0.001,0.0003,
BG,Bulgaria,,0.016,0.0015,,
CH,Switzerland,0.0009,0.0025,0.003,0.0006,
CR,Croatia,,0.016,,,
CY,Cyprus,,0.0212,,,
CZ,Czech Republic,0.0004,0.001,0.003,0.00045,
DE,Germany,0.0007,0.001,0.002,0.0002,
DK,Denmark,0.0025,,,,
ES,Spain,0.0001,,,0.0001,
FI,Finland,0.0004,,,,
FR,France,0.0012,0.0006,0.0012,0.0001,0.0005
GU,Guadeloupe,0.0274,0.0409,,,
UK,United Kingdom,0.0017,,0.0012,,
HE,Greece,,0.0175,,,
HU,Hungary,0.0002,0.002,0.0025,,
IE,Ireland,0.0022,,,,
IS,Iceland,0.0003,,,,
IT,Italy,,0.0077,0.0015,0.0005,
LU,Luxembourg,0.0012,,,0.0003,
MA,Martinique,0.0319,0.0471,,,
MT,Malta,,0.01,,,
NL,Netherlands,0.0018,,,0.0002,
NO,Norway,0.0008,,,,
PL,Poland,0.0004,,0.0016,,
PT,Portugal,,0.012,,,
RE,Reunion,0.025,,,,
RO,Romania,,0.017,0.003,,
SE,Sweden,0.00085,,,,
SI,Slovenia,0.0004,0.01,0.003,0.0008,
SK,Slovakia,,0.0016,0.0035,,
SM,St Martin,0.0516,0.05,,,
