s2model,mtpl,mod,mar,prop,liab,cred,lexp,ass,misc,np_cas_re,np_mar_re,np_prop_re
mtpl,1.0,0.5,0.5,0.25,0.5,0.25,0.5,0.25,0.5,0.25,0.25,0.25
mod,0.5,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25
mar,0.5,0.25,1.0,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.25
prop,0.25,0.25,0.25,1.0,0.25,0.25,0.25,0.5,0.5,0.25,0.5,0.5
liab,0.5,0.25,0.25,0.25,1.0,0.5,0.5,0.25,0.5,0.5,0.25,0.25
cred,0.25,0.25,0.25,0.25,0.5,1.0,0.5,0.25,0.5,0.5,0.25,0.25
lexp,0.5,0.5,0.25,0.25,0.5,0.5,1.0,0.25,0.5,0.5,0.25,0.25
ass,0.25,0.5,0.5,0.5,0.25,0.25,0.25,1.0,0.5,0.25,0.25,0.5
misc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.25,0.5,0.25
np_cas_re,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.25,0.25,1.0,0.25,0.25
np_mar_re,0.25,0.25,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,1.0,0.25
np_prop_re,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.25,0.25,0.25,1.0
